PassengerId,age,fare,sibsp,parch,pclass,sex,embarked,age_group,familysz,survived
1,22.0,7.25,1.0,0.0,2,1,2,4,1,0
2,38.0,71.2833,1.0,0.0,0,0,0,0,1,1
3,26.0,7.925000000000001,0.0,0.0,2,0,2,4,1,1
4,35.0,53.1,1.0,0.0,0,0,2,0,1,1
5,35.0,8.05,0.0,0.0,2,1,2,0,1,0
6,23.28034516138296,8.458300000000001,0.0,0.0,2,1,1,4,1,0
7,54.0,51.8625,0.0,0.0,0,1,2,2,1,0
8,2.0,21.075,3.0,1.0,2,1,2,1,0,0
9,27.0,11.133299999999998,0.0,2.0,2,0,2,4,1,1
10,14.000000000000002,30.0708,1.0,0.0,1,0,0,3,1,1
11,4.0,16.7,1.0,1.0,2,0,2,1,1,1
12,58.0,26.55,0.0,0.0,0,0,2,2,1,1
13,20.0,8.05,0.0,0.0,2,1,2,3,1,0
14,39.0,31.275,1.0,5.0,2,1,2,0,0,0
15,14.000000000000002,7.854199999999999,0.0,0.0,2,0,2,3,1,0
16,55.0,16.0,0.0,0.0,1,0,2,2,1,1
17,2.0,29.125,4.0,1.0,2,1,1,1,0,0
18,32.0,13.0,0.0,0.0,1,1,2,0,1,1
19,31.0,18.0,1.0,0.0,2,0,2,0,1,0
20,29.0,7.225000000000005,0.0,0.0,2,0,0,4,1,1
21,35.0,26.0,0.0,0.0,1,1,2,0,1,0
22,34.0,13.0,0.0,0.0,1,1,2,0,1,1
23,15.0,8.0292,0.0,0.0,2,0,1,3,1,1
24,28.0,35.5,0.0,0.0,0,1,2,4,1,1
25,8.0,21.075,3.0,1.0,2,0,2,1,0,0
26,38.0,31.3875,1.0,5.0,2,0,2,0,0,1
27,29.0,7.225000000000005,0.0,0.0,2,1,0,4,1,0
28,19.0,263.00000000000006,3.0,2.0,0,1,2,3,0,0
29,19.00336586800311,7.879200000000001,0.0,0.0,2,0,1,3,1,1
30,28.6,7.895800000000001,0.0,0.0,2,1,2,4,1,0
31,40.0,27.7208,0.0,0.0,0,1,0,0,1,0
32,27.49606711734636,146.5208,1.0,0.0,0,0,0,4,1,1
33,31.099999999999998,7.75,0.0,0.0,2,0,1,0,1,1
34,66.0,10.5,0.0,0.0,1,1,2,2,1,0
35,28.0,82.1708,1.0,0.0,0,1,0,4,1,0
36,42.0,52.0,1.0,0.0,0,1,2,0,1,0
37,24.8,7.229199999999999,0.0,0.0,2,1,0,4,1,1
38,21.0,8.05,0.0,0.0,2,1,2,3,1,0
39,18.0,18.0,2.0,0.0,2,0,2,3,1,0
40,14.000000000000002,11.241700000000002,1.0,0.0,2,0,0,3,1,1
41,40.0,9.475000000000001,1.0,0.0,2,0,2,0,1,0
42,27.0,21.0,1.0,0.0,1,0,2,4,1,0
43,28.6,7.895800000000001,0.0,0.0,2,1,0,4,1,0
44,3.0,41.5792,1.0,2.0,1,0,0,1,0,1
45,19.0,7.879200000000001,0.0,0.0,2,0,1,3,1,1
46,30.4,8.05,0.0,0.0,2,1,2,0,1,0
47,33.181102362283475,15.5,1.0,0.0,2,1,1,0,1,0
49,22.78495789642016,21.6792,2.0,0.0,2,1,0,4,1,0
50,18.0,17.799999999999997,1.0,0.0,2,0,2,3,1,0
51,7.0,39.6875,4.0,1.0,2,1,2,1,0,0
52,21.0,7.800000000000001,0.0,0.0,2,1,2,3,1,0
53,49.0,76.7292,1.0,0.0,0,0,0,0,1,1
54,29.0,26.0,1.0,0.0,1,0,2,4,1,1
55,65.0,61.9792,0.0,1.0,0,1,0,2,1,0
56,42.0,35.5,0.0,0.0,0,1,2,0,1,1
57,21.0,10.5,0.0,0.0,1,0,2,3,1,1
58,28.5,7.229199999999999,0.0,0.0,2,1,0,4,1,0
59,5.0,27.75,1.0,2.0,1,0,2,1,0,1
60,11.0,46.9,5.0,2.0,2,1,2,1,0,0
61,22.0,7.229199999999999,0.0,0.0,2,1,0,4,1,0
62,38.0,80.0,0.0,0.0,0,0,2,0,1,1
